x,log2_Naive_2157A,log2_Naive_2157C,log2_Naive_2157B,log2_Memory_1962B,log2_Memory_1635B,log2_Memory_1655D,log2_DN_1655B,log2_DN_1962A,log2_DN_1716A,log2_SP_1716B,log2_SP_1944B,log2_SP_1655C,log2_DP_1635A,log2_DP_1944A,log2_DP_1655A,"anova_fdr_pvals min(anova_raw_vals,anova_log2_vals)","fold_change (min (max (mean_fc), max(median_fc))",rank_anova,rank_fc,ave_rankings,cluster
RSAD2,5.9068,6.2126,6.4356,4.7868,5.2574,7.7655,8.8752,9.5038,9.5427,7.9443,8.6141,8.6441,8.5277,7.847,8.1092,0.064481728,2.221840065,2406,2001,2203.5,6
RSL1.ZFP429.ZFP455.ZFP456,7.6765,7.8148,7.7665,5.6238,6.0839,5.5156,5.4306,5.0719,4.3923,4.3923,4.3923,4.623,5.9922,7.0031,5.4506,0.071271917,3.132641618,2453,996,1724.5,3
RTN4RL1,9.1102,9.353,9.3013,9.0581,9.075,8.8797,8.3431,8.2171,8.3005,6.2502,6.1845,6.4247,4.3995,5.6401,6.0041,0.000838173,6.431146543,52,266,159,4
RTP4,8.8533,9.1098,9.6347,8.2331,8.4182,7.5832,10.5548,10.4246,10.393,9.1563,8.9289,9.0485,8.2109,8.5565,8.5259,0.000838173,3.736344741,51,723,387,6
RWDD2A,6.0911,6.1751,5.6241,5.1386,5.5192,5.1852,6.0962,6.0355,5.7575,5.0449,4.3923,4.966,5.211,5.817,5.2549,0.041178569,2.134955069,2115,2170,2142.5,3
RWDD3,7.157,7.3347,7.1684,6.2549,6.1491,5.7444,4.8524,4.3923,4.3923,5.5988,5.6746,5.6681,4.3923,4.5146,4.4028,0.002530398,2.376752629,277,1730,1003.5,9
RXRA,7.0184,7.0147,6.9354,7.8723,8.1041,8.3101,7.8416,8.0521,7.9184,6.0269,5.7644,5.6907,5.1497,5.2091,5.0277,0.000504685,6.983641806,24,230,127,4
RYK,6.4861,6.215,6.3267,6.6743,5.6648,5.7952,5.0242,5.7766,6.3113,7.1389,7.6152,7.9575,7.9211,7.724,7.6589,0.019609319,3.909935374,1557,663,1110,1
S100A1,5.5431,5.5619,5.6848,6.5808,6.2077,7.319,5.2835,6.3132,6.4294,6.6361,6.5282,7.3206,8.2072,8.1647,7.6649,0.024417935,3.64180878,1722,757,1239.5,2
S100A10,12.4169,12.5379,12.3374,12.8126,12.8629,12.9883,12.3662,12.5537,12.3934,12.9825,12.9006,12.925,12.9549,12.9509,12.8822,0.004916682,1.410659493,566,2960,1763,10
S100A11,12.5349,12.602,12.586,13.1898,13.3164,13.4958,12.3122,12.8378,12.6696,13.2859,13.3638,13.301,13.6285,13.601,13.6463,0.004324881,1.943978845,482,2608,1545,2
